,balance,numofproducts,hascrcard,tenure,isactivemember,exited,creditscore,geography,gender,age,estimatedsalary,estimatedsalary_group,age_group,saving,saving_group,creditscore_group,numofproducts_scale,creditscore_scale,age_scale,gender_scale,geography_germany,geography_spain,age_group_21-23,age_group_24-31,age_group_32-44,age_group_45-60,age_group_above 60,numofproducts_1,numofproducts_2,numofproducts_3,numofproducts_4
0,0.0,1,1,2,1,1,619,france,female,42,101348.88,1 lakh - 1.5 lakh,32-44,0,no saving,below 650,0.0,0.5379999999999999,0.3243243243243243,1,0,0,0,0,1,0,0,1,0,0,0
2,83807.86,1,1,1,1,0,608,spain,female,41,112542.58,1 lakh - 1.5 lakh,32-44,1,50k-1 lakh,below 650,0.0,0.5159999999999999,0.3108108108108108,1,0,1,0,0,1,0,0,1,0,0,0
3,159660.8,3,0,8,0,1,502,france,female,42,113931.57,1 lakh - 1.5 lakh,32-44,1,1.5 lakh - 2 lakh,below 650,0.6666666666666667,0.30399999999999994,0.3243243243243243,1,0,0,0,0,1,0,0,0,0,1,0
4,0.0,2,0,1,0,0,699,france,female,39,93826.63,50k - 1 lakh,32-44,0,no saving,650-700,0.3333333333333333,0.6980000000000001,0.2837837837837838,1,0,0,0,0,1,0,0,0,1,0,0
5,125510.82,1,1,2,1,0,850,spain,female,43,79084.1,50k - 1 lakh,32-44,1,1 lakh - 1.5 lakh,above 800,0.0,0.9999999999999999,0.3378378378378379,1,0,1,0,0,1,0,0,1,0,0,0
6,113755.78,2,0,8,0,1,645,spain,male,44,149756.71,1 lakh - 1.5 lakh,32-44,1,1 lakh - 1.5 lakh,below 650,0.3333333333333333,0.59,0.35135135135135137,0,0,1,0,0,1,0,0,0,1,0,0
7,0.0,2,1,7,1,0,822,france,male,50,10062.8,1k - 20k,45-60,0,no saving,above 800,0.3333333333333333,0.9440000000000001,0.4324324324324324,0,0,0,0,0,0,1,0,0,1,0,0
8,115046.74,4,0,4,0,1,376,germany,female,29,119346.88,1 lakh - 1.5 lakh,24-31,1,1 lakh - 1.5 lakh,below 650,1.0,0.051999999999999935,0.14864864864864863,1,1,0,0,1,0,0,0,0,0,0,1
9,142051.07,2,1,4,1,0,501,france,male,44,74940.5,50k - 1 lakh,32-44,1,1 lakh - 1.5 lakh,below 650,0.3333333333333333,0.30199999999999994,0.35135135135135137,0,0,0,0,0,1,0,0,0,1,0,0
10,134603.88,1,1,2,1,0,684,france,male,27,71725.73,50k - 1 lakh,24-31,1,1 lakh - 1.5 lakh,650-700,0.0,0.668,0.12162162162162166,0,0,0,0,1,0,0,0,1,0,0,0
11,102016.72,2,0,6,0,0,528,france,male,31,80181.12,50k - 1 lakh,24-31,1,1 lakh - 1.5 lakh,below 650,0.3333333333333333,0.356,0.1756756756756757,0,0,0,0,1,0,0,0,0,1,0,0
12,0.0,2,0,3,0,0,497,spain,male,24,76390.01,50k - 1 lakh,24-31,0,no saving,below 650,0.3333333333333333,0.29399999999999993,0.08108108108108109,0,0,1,0,1,0,0,0,0,1,0,0
13,0.0,2,0,10,0,0,476,france,female,34,26260.98,20k - 50k,32-44,0,no saving,below 650,0.3333333333333333,0.252,0.21621621621621623,1,0,0,0,0,1,0,0,0,1,0,0
14,0.0,2,0,5,0,0,549,france,female,25,190857.79,1.5 lakh - 2 lakh,24-31,0,no saving,below 650,0.3333333333333333,0.398,0.09459459459459457,1,0,0,0,1,0,0,0,0,1,0,0
15,0.0,2,1,7,1,0,635,spain,female,35,65951.65,50k - 1 lakh,32-44,0,no saving,below 650,0.3333333333333333,0.57,0.22972972972972977,1,0,1,0,0,1,0,0,0,1,0,0
16,143129.41,2,1,3,1,0,616,germany,male,45,64327.26,50k - 1 lakh,45-60,1,1 lakh - 1.5 lakh,below 650,0.3333333333333333,0.5319999999999999,0.36486486486486486,0,1,0,0,0,0,1,0,0,1,0,0
17,132602.88,1,0,1,0,1,653,germany,male,58,5097.67,1k - 20k,45-60,1,1 lakh - 1.5 lakh,650-700,0.0,0.606,0.5405405405405406,0,1,0,0,0,0,1,0,1,0,0,0
18,0.0,2,1,9,1,0,549,spain,female,24,14406.41,1k - 20k,24-31,0,no saving,below 650,0.3333333333333333,0.398,0.08108108108108109,1,0,1,0,1,0,0,0,0,1,0,0
19,0.0,1,0,6,0,0,587,spain,male,45,158684.81,1.5 lakh - 2 lakh,45-60,0,no saving,below 650,0.0,0.47399999999999987,0.36486486486486486,0,0,1,0,0,0,1,0,1,0,0,0
20,0.0,2,1,6,1,0,726,france,female,24,54724.03,50k - 1 lakh,24-31,0,no saving,700-800,0.3333333333333333,0.7519999999999999,0.08108108108108109,1,0,0,0,1,0,0,0,0,1,0,0
21,0.0,2,1,8,1,0,732,france,male,41,170886.17,1.5 lakh - 2 lakh,32-44,0,no saving,700-800,0.3333333333333333,0.7639999999999999,0.3108108108108108,0,0,0,0,0,1,0,0,0,1,0,0
22,0.0,2,0,8,0,0,636,spain,female,32,138555.46,1 lakh - 1.5 lakh,32-44,0,no saving,below 650,0.3333333333333333,0.572,0.1891891891891892,1,0,1,0,0,1,0,0,0,1,0,0
23,0.0,1,0,4,0,1,510,spain,female,38,118913.53,1 lakh - 1.5 lakh,32-44,0,no saving,below 650,0.0,0.31999999999999995,0.27027027027027034,1,0,1,0,0,1,0,0,1,0,0,0
24,0.0,2,1,3,1,0,669,france,male,46,8487.75,1k - 20k,45-60,0,no saving,650-700,0.3333333333333333,0.638,0.37837837837837845,0,0,0,0,0,0,1,0,0,1,0,0
25,0.0,1,1,5,1,0,846,france,female,38,187616.16,1.5 lakh - 2 lakh,32-44,0,no saving,above 800,0.0,0.9919999999999999,0.27027027027027034,1,0,0,0,0,1,0,0,1,0,0,0
26,0.0,2,1,3,1,0,577,france,male,25,124508.29,1 lakh - 1.5 lakh,24-31,0,no saving,below 650,0.3333333333333333,0.45399999999999985,0.09459459459459457,0,0,0,0,1,0,0,0,0,1,0,0
27,136815.64,1,1,2,1,0,756,germany,male,36,170041.95,1.5 lakh - 2 lakh,32-44,1,1 lakh - 1.5 lakh,700-800,0.0,0.8119999999999999,0.24324324324324326,0,1,0,0,0,1,0,0,1,0,0,0
28,0.0,2,0,9,0,0,571,france,male,44,38433.35,20k - 50k,32-44,0,no saving,below 650,0.3333333333333333,0.44200000000000006,0.35135135135135137,0,0,0,0,0,1,0,0,0,1,0,0
30,59697.17,2,1,0,1,0,411,france,male,29,53483.21,50k - 1 lakh,24-31,1,50k-1 lakh,below 650,0.3333333333333333,0.122,0.14864864864864863,0,0,0,0,1,0,0,0,0,1,0,0
31,0.0,3,0,3,0,1,591,spain,female,39,140469.38,1 lakh - 1.5 lakh,32-44,0,no saving,below 650,0.6666666666666667,0.4819999999999999,0.2837837837837838,1,0,1,0,0,1,0,0,0,0,1,0
32,85311.7,1,1,7,1,0,533,france,male,36,156731.91,1.5 lakh - 2 lakh,32-44,1,50k-1 lakh,below 650,0.0,0.366,0.24324324324324326,0,0,0,0,0,1,0,0,1,0,0,0
33,110112.54,2,0,9,0,0,553,germany,male,41,81898.81,50k - 1 lakh,32-44,1,1 lakh - 1.5 lakh,below 650,0.3333333333333333,0.406,0.3108108108108108,0,1,0,0,0,1,0,0,0,1,0,0
34,0.0,2,1,6,1,0,520,spain,female,42,34410.55,20k - 50k,32-44,0,no saving,below 650,0.3333333333333333,0.33999999999999997,0.3243243243243243,1,0,1,0,0,1,0,0,0,1,0,0
35,0.0,2,1,9,1,0,722,spain,female,29,142033.07,1 lakh - 1.5 lakh,24-31,0,no saving,700-800,0.3333333333333333,0.7439999999999999,0.14864864864864863,1,0,1,0,1,0,0,0,0,1,0,0
36,134264.04,1,0,0,0,1,475,france,female,45,27822.99,20k - 50k,45-60,1,1 lakh - 1.5 lakh,below 650,0.0,0.25,0.36486486486486486,1,0,0,0,0,0,1,0,1,0,0,0
37,145260.23,1,1,3,1,0,490,spain,male,31,114066.77,1 lakh - 1.5 lakh,24-31,1,1 lakh - 1.5 lakh,below 650,0.0,0.2799999999999999,0.1756756756756757,0,0,1,0,1,0,0,0,1,0,0,0
38,76548.6,1,1,7,1,0,804,spain,male,33,98453.45,50k - 1 lakh,32-44,1,50k-1 lakh,above 800,0.0,0.908,0.2027027027027027,0,0,1,0,0,1,0,0,1,0,0,0
